job_listing_no,job_type,page,salary_info,technical_skills,travel_info
11601,"Full Time, Permanent",233,Market,"MS Visual Studio, C#.NET, ASP.NET, HTML, XML, JSON, JavaScript, jQuery, AngularJS and MS SQL Server","Telecommuting not available
Travel not required"
11602,Full Time,233,"$80,000-100,000 DOE",Systems and Voice Administrator,"Telecommuting not available
Travel not required"
11603,C2H W2,233,discuss at 1st intv,"SQL application development, DB design, T-SQL development","Telecommuting not available
Travel not required"
11604,"Full Time, Contract W2, Longterm",233,Negotiable,"HTML 5, AngularJS/ Backbone/ Ember/ React/ Knockout, Jasmine/ Mocha/ Qunit, test driven development and/or behavior driven development","Telecommuting not available
Travel not required"
11605,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, Part Time, 24 months",233,85,C# and/or Visual Basic .NET PL/SQL to develop Oracle packages FileNet P8 v4.0 or higher.  Service Oriented Architecture (SOA) Health Care data that fall under HIPAA Protected Health Information (PHI).,"Telecommuting not available
Travel required to 100%."
11606,"Full Time, Full Time",233,,"Analysis, CCIE, Cisco, DNS, Ethernet, Firewall, HTTP, Linux, Management, Networking, Network Engineer, Networks, Protocol, Protocols, RPC, Security, Switches, Unix, VPN, WAN","Telecommuting not available
Travel not required"
11607,"Contract W2, 6+ Months",233,$,"OCI- Reporting Engineer, On-Command Insight (OCI)","Telecommuting not available
Travel not required"
11608,Full Time,233,Depends On Experience,"Ajax, Architecture, CSS, Data Architecture, Database, Developer, HTML, Java, JavaScript, jQuery, MySQL, mysql, PHP, SQL","Telecommuting not available
Travel not required"
11609,"Full Time, Full time",233,great,"ETL, Big Data, AWS (S3, Redshift table, Matillion ETL) , data visualization tools and creating reports using Tableau and Power BI, SSRS","Telecommuting not available
Travel required to 10%."
11610,"Full Time, Contract Independent, Contract W2, C2H Independent, C2H W2, Long Term",233,Depends On Experience,"SQL DBA, SQL, PL/SQL, data base scripting (PLSQL and SQL statements)","Telecommuting not available
Travel not required"
11611,"Contract Corp-To-Corp, Contract W2, Long",233,Depends On Experience,"api tester, perl, python, javascript, BDD, agile, automated testing, soapui, jira, aws, service test, test ng","Telecommuting not available
Travel not required"
11612,Full Time,233,Negotiable,"SSRS, Analytics, Reports, SQL, SSIS, T-SQL, queries","Telecommuting not available
Travel not required"
11613,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, Part Time, Long Term",233,$70/hr,Managers notes:  needs to understand data security and data encryption (masking) and how scanning tools work,"Telecommuting not available
Travel not required"
11614,,233,,,
11615,Contract W2,233,Depends On Experience,"Network, Security, Checkpoint, Firewall, ASA, Cisco, Routing","Telecommuting not available
Travel not required"
11616,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, Part Time",233,Negotiable,"Omniture, Sitecatalyst, Adobe, Analytics","Telecommuting not available
Travel not required"
11617,Full Time,233,,Business Systems Analyst,"Telecommuting not available
Travel not required"
11618,"Contract W2, 6 months",233,Depends On Experience,"Java, BigData, Apache, Hadoop, Data Sctructure, Python,","Telecommuting not available
Travel not required"
11619,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, 3 years",233,Depends On Experience,"Data flow, data modeling, ""Data Administration"", Database Security, Data conversion, migration, conversion, SQL Server, Oracle, DB2","Telecommuting not available
Travel not required"
11620,Full Time,233,,"ACS, Analysis, Business Requirements, CCIE, CISSP, Cisco, Consulting, CSS, Development, Management, Networking, Networks, Project, Project Management, Protocols, Risk Management, Routers, Sales, Security, Switches, TCP/IP, VPN","Telecommuting not available
Travel not required"
11621,"Full Time, Full-time, Employee",233,Unspecified,"Test Engineer, Selenium, Object Oriented Programming Languages, Agile, J2EE technologies, Continuous Integration, Continuous Delivery, Test Data Management Tools, Manage Outsourced Test Developers, Devops - Test Engineer, Selenium, Object Oriented Programming Languages, Agile, J2EE technologies, Continuous Integration, Continuous Delivery, Test Data Management Tools, Manage Outsourced Test Developers, Devops","Telecommuting not available
Travel not required"
11622,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2",233,Negotiable,"ETL, Informatica, Oracle, Sql, MDM, BI tools etc.","Telecommuting not available
Travel not required"
11623,Full Time,233,,"Analysis, Business Intelligence, Civil, Data Mining, Data Warehouse, Excel, Manager, Management, MS Office, Outlook, PowerPoint, Project, Project Management, Research, Security, SQL, Teradata, Video","Telecommuting not available
Travel not required"
11624,"Full Time, Full Time",233,,"Analysis, CCNA, Cisco, Data Analysis, Electronic Systems, Excel, Forth, Hardware, HTTP, Management, Motorola, Multimedia, Networking, Networks, Outlook, Project, Project Management, Protocol, Protocols, Scripts, Supervision, Supervisor, TCP/IP, Unix, Video","Telecommuting not available
Travel not required"
11625,"Contract Corp-To-Corp, Contract W2",233,Depends On Experience,".Net, MVC, WCF, Entity Framework, SQL, WEB API, AngularJS2, AWS/Azure, JQueery","Telecommuting not available
Travel not required"
11626,"Contract W2, 12 Months",233,,"Marketing Technology Architecture, APIs, Web Services","Telecommuting not available
Travel not required"
11627,Full Time,233,Depends On Experience,"SAP BODS, SQL, Toad,","Telecommuting not available
Travel not required"
11628,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, Part Time",233,Depends On Experience,"Java, Spring, MVC, AngularJS, Jenkins","Telecommuting not available
Travel not required"
11629,Full Time,233,,"Analysis, Analyst, Database, Data Warehouse, Development, Security, Simulation","Telecommuting not available
Travel not required"
11630,"Full Time, Contract Independent, C2H Independent",233,Negotiable,"Windows Server 2003/2008/2012,CISCO, VMWare and Active Directory","Telecommuting not available
Travel not required"
