company,date,detailUrl,jobTitle,job_listing_no,location,page
Delta System & Software Inc.,2017-04-21,http://www.dice.com/job/result/90957446/968093?src=19,SR SAP MDG Developer,29151,"Houston, TX",584
e-Primary,2017-04-18,http://www.dice.com/job/result/10195428/919411?src=19,Software Developer,29152,"Bala Cynwyd, PA",584
"Honeywell, Inc.",2017-04-13,http://www.dice.com/job/result/10368517/936920?src=19,Senior Cloud Software Engineer - IoT Platforms,29153,"Raleigh, NC",584
The Judge Group,2017-04-23,http://www.dice.com/job/result/cxjudgpa/500632?src=19,Controls Engineer,29154,"Monroe, MI",584
Robert Half Technology,2017-04-23,http://www.dice.com/job/result/rhalfint/02310-0009191314?src=19,C# Web Developer,29155,"St. Paul, MN",584
First American Financial,2017-04-23,http://www.dice.com/job/result/appblok/2280_1853765?src=19,IT Manager,29156,"Santa Ana, CA",584
The Jupiter Group,2017-04-20,http://www.dice.com/job/result/10120234/965727?src=19,Desktop Support Specialist,29157,"Mont Belvieu, TX",584
"Paramount Software Solutions, Inc",2017-04-18,http://www.dice.com/job/result/10452799/53621?src=19,.Net Developer,29158,"Atlanta, GA",584
Buxton Consulting,2017-03-28,http://www.dice.com/job/result/buxton/OPMSCM?src=19,Senior OPM Manufacturing Consultant,29159,"Pleasanton, CA",584
Drupal Connect,2017-04-18,http://www.dice.com/job/result/90944054/696943?src=19,Agile Coach,29160,"Baltimore, MD",584
CyberCoders,2017-04-23,http://www.dice.com/job/result/cybercod/MN-136296218?src=19,JavaScript Developer $125K,29161,"Concord, MA",584
The Judge Group,2017-04-23,http://www.dice.com/job/result/cxjudgpa/512538?src=19,Program Manager,29162,"Washington, DC",584
Spectrum,2017-04-23,http://www.dice.com/job/result/appblok/3352_185887BR?src=19,Network Engineer II,29163,"Centennial, CO",584
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/21484?src=19,Programmer,29164,"Falls Church, VA",584
BellSoft,2017-04-06,http://www.dice.com/job/result/bellsoft/947389?src=19,SAP MII Consultant,29165,"Hartford, CT",584
Ascent,2017-04-23,http://www.dice.com/job/result/itca001/17-02588?src=19,Network Architect,29166,"Glendale, CA",584
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/11447?src=19,NetOps Functional Lead,29167,"Macdill Afb, FL",584
CyberCoders,2017-04-23,http://www.dice.com/job/result/cybercod/EE-13672652?src=19,Mobile Product Manager,29168,"Lynwood, CA",584
The Davis Companies,2017-04-23,http://www.dice.com/job/result/10116144/Davis_228122-126?src=19,Full Stack Web Developer,29169,"Boston, MA",584
Cystems Logic,2017-04-18,http://www.dice.com/job/result/10205791/961965?src=19,SAP BI/BW Analyst,29170,"Glendale, CA",584
"Sacc, Inc.",2017-04-17,http://www.dice.com/job/result/saccinc/961071?src=19,Clinical Project Coordinator,29171,"Foster City, CA",584
Vigna Solutions Inc.,2017-04-21,http://www.dice.com/job/result/10182300/967861?src=19,Sr Technical Project Manager,29172,"Washington, DC",584
Design Strategy,2017-04-17,http://www.dice.com/job/result/designnj1/15648?src=19,Database Developer/Analyst,29173,"Jersey City, NJ",584
IT America,2017-03-24,http://www.dice.com/job/result/10121956/930852?src=19,Web Focus Administrator,29174,"Hanover, MD",584
Sphere Technical Resources,2017-04-06,http://www.dice.com/job/result/10118585/10156?src=19,Programmer Analyst,29175,"Raleigh, NC",584
"Lorven Technologies, Inc.",2017-04-21,http://www.dice.com/job/result/10120137/AMC_JSF?src=19,Java Consultant  - 12+ Years ( Face to Face Interview),29176,"Philadelphia, PA",584
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/23203?src=19,Systems Architect w/Polygraph,29177,"Herndon, VA",584
"Titan Technologies, Inc.",2017-04-23,http://www.dice.com/job/result/10447565/JVAMI?src=19,Java Programmer Analyst,29178,"Monroe, MI",584
Gotham Technology,2017-04-21,http://www.dice.com/job/result/gotny001/ER-SE?src=19,Security Engineer,29179,"Manhattan, NY",584
Robert Half Technology,2017-04-23,http://www.dice.com/job/result/rhalfint/03500-0009207625?src=19,Mobile Device Developer,29180,"Oklahoma City, OK",584
CGI,2017-04-23,http://www.dice.com/job/result/cgiamsbot/J0317-2658?src=19,Security Operations Center Analyst Level III,29181,"San Antonio, TX",584
VariQ Corporation,2017-04-23,http://www.dice.com/job/result/10286792/2220?src=19,Lead Security Engineer,29182,"Rockville, MD",584
"Capricorn Systems, Inc.",2017-04-19,http://www.dice.com/job/result/capricor/954174?src=19,Lead Application  Developer,29183,"Saint Petersburg, FL",584
Engage Partners,2017-04-23,http://www.dice.com/job/result/10483814/J3H84M5XKHGJM6QMPYG?src=19,"Application Analyst, Sr. - Epic Healthy Planet",29184,"Chicago, IL",584
"SolTech, Inc",2017-04-17,http://www.dice.com/job/result/10107031/2017-1965?src=19,Xamarin Developer,29185,"Atlanta, GA",584
CyberCoders,2017-04-23,http://www.dice.com/job/result/cybercod/DR5-136025230?src=19,"Agile Project Manager - Agile, Jira Agile, PMP",29186,"Reno, NV",584
