job_listing_no,job_type,page,salary_info,technical_skills,travel_info
3501,Contract Corp-To-Corp,71,open,"Java J2EE/EE, JSF, JDBC, XHTML, CSS, Java 1.7, Hybrid, algorithms, IOS, Core Data, Core animation, Objective-C, Swift, Cocoa Touch, threading, UI, UX, Apple, C-based libraries, Shark","Telecommuting not available
Travel not required"
3502,"Contract W2, C2H W2",71,Depends On Experience,"Spring, Spring MVC, Hibernate, JPA, JMS, Pages, Java Servlets, HTML, Java Script, XML, XSD, XSLT, XPath, JAXB, JAXP, AJAX, WebServices, JBoss","Telecommuting not available
Travel not required"
3503,Full Time,71,"60,000 - $80,000+","Java, C, Scala, Computer Science degree, Local Candidate No H1 Also consider Experienced Developer Any open source tools a plus.","Telecommuting not available
Travel not required"
3504,"Full Time, Contract Corp-To-Corp, C2H Corp-To-Corp, Permanent",71,"$130,000-$150,000","Logical and Physical Infrastructure Architecture, Enterprise-level Infrastructure Implementations, Complex Server Infrastructure, Data Center Operations, Implementing Network, Storage, and Capacity","Telecommuting not available
Travel not required"
3505,Contract W2,71,60.00-70.00,"sql server, developer","Telecommuting not available
Travel not required"
3506,"Contract W2, 12 months",71,Depends On Experience,SQL ETL Oracle Netezza,"Telecommuting not available
Travel not required"
3507,"Contract W2, C2H W2",71,Depends On Experience,"VB.NET 4.0, ODP.NET, SQL, PL/SQL,Oracle 10g,MVC, MVVM,WCF,WPF.","Telecommuting not available
Travel not required"
3508,"Full Time, Permanent",71,Depends On Experience,"Data Center, HPC, LAN, SAN, WAN, CNDS, Firewalls, VPNs, IDS, IPS, Trunking, RSTP, vPC, Fabric Path, VXLAN, FHRP, FC, FCoE, OSPF, BGP, vPath, ASR, Nexus, Catalyst, ASA, UCS, VMware, Linux, STIG, NetSec","Telecommuting not available
Travel required to 25%."
3509,"Contract Corp-To-Corp, Contract Independent, Contract W2, 6 Months",71,$All Inclusive,Microsoft Access Developer to complete data migration work in a SAP project,"Telecommuting not available
Travel not required"
3510,"Full Time, Permanent",71,Depends On Experience,"Solaris, Unix, Sun Blade T6340, T6320, X6450, SPARC Enterprise M5000, T5120, T4-2, UFS, ZFS, Global Zones, Oracle VM Server, Oracle Enterprise Manager, LDOM","Telecommuting not available
Travel required to 25%."
3511,"Contract Corp-To-Corp, Contract Independent, Contract W2, 4-6 MO",71,Depends On Experience,Spark Scala Developer,"Telecommuting not available
Travel not required"
3512,"Full Time, Permanent",71,Depends On Experience,C# Software Developer Engineer backend,"Telecommuting not available
Travel required to 10%."
3513,Full Time,71,Based on Experience,customer service or technical support role,"Telecommuting not available
Travel not required"
3514,"Full Time, Full Time",71,Negotiable,Please refer to Job Description,"Telecommuting not available
Travel not required"
3515,"Full Time, Full Time",71,Negotiable,1.Salesforce Developer and  2.Salesforce Analyst,"Telecommuting not available
Travel not required"
3516,Full Time,71,Based on Experience,"C#, HTML, CSS, JavaScript, jQuery and SQL Server, MVC and WEB API","Telecommuting not available
Travel not required"
